X,Y,Z,Name,id,alt_name,latitude,longitude,name2
117.36165,-8.65293,0,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,-8.65293 ,117.36165 ,NUSA TENGGARA BARAT
120.69786,-8.56568,0,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,"-8.56568","120.69786",NUSA TENGGARA TIMUR
111.09689,-0.13224,0,KALIMANTAN BARAT,61,KALIMANTAN BARAT,"-0.13224","111.09689",KALIMANTAN BARAT
113.29033,-1.49958,0,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,"-1.49958","113.29033",KALIMANTAN TENGAH
115.37565,-2.94348,0,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,"-2.94348","115.37565",KALIMANTAN SELATAN
116.242,0.78844,0,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,"0.78844","116.242",KALIMANTAN TIMUR
116.04139,3.07309,0,KALIMANTAN UTARA,65,KALIMANTAN UTARA,"3.07309","116.04139",KALIMANTAN UTARA
