X,Y,Z,Name,id,alt_name,latitude,longitude,name2
124.09015,0.65557,0,SULAWESI UTARA,71,SULAWESI UTARA,"0.65557",124.09015,SULAWESI UTARA
121.457046,-1.4192034,0,SULAWESI TENGAH,72,SULAWESI TENGAH,"-1.4192034",121.457046,SULAWESI TENGAH
119.94719,-3.64467,0,SULAWESI SELATAN,73,SULAWESI SELATAN,"-3.64467",119.94719,SULAWESI SELATAN
122.1746,-4.14491,0,SULAWESI TENGGARA,74,SULAWESI TENGGARA,"-4.14491",122.1746,SULAWESI TENGGARA
122.45559,0.71862,0,GORONTALO,75,GORONTALO,"0.71862",122.45559,GORONTALO
0,0,0,SULAWESI BARAT,76,SULAWESI BARAT,- -2.84414,119.23208,SULAWESI BARAT
