X,Y,Z,Name,id,alt_name,latitude,longitude,name2
106.84513,-6.21462,0,DKI JAKARTA,31,DKI JAKARTA,-6.21462 ,106.84513,DKI JAKARTA
107.64047,-6.88917,0,JAWA BARAT,32,JAWA BARAT,"-6.88917",107.64047,JAWA BARAT
110.00441,-7.30324,0,JAWA TENGAH,33,JAWA TENGAH,"-7.30324",110.00441,JAWA TENGAH
110.36472,-7.80139,0,DI YOGYAKARTA,34,DI YOGYAKARTA,"-7.80139",110.36472,DI YOGYAKARTA
113.98005,-6.96851,0,JAWA TIMUR,35,JAWA TIMUR,"-6.96851",113.98005,JAWA TIMUR
106.06402,-6.40582,0,BANTEN,36,BANTEN,"-6.40582",106.06402,BANTEN
115.12239,-8.23566,0,BALI,51,BALI,"-8.23566",115.12239,BALI
