X,Y,Z,Name,id,alt_name,latitude,longitude,name2
105.8901,-6.3116,0,KABUPATEN PANDEGLANG,3601,KABUPATEN PANDEGLANG,-6.3116,"105.8901",KABUPATEN PANDEGLANG
106.21667,-6.6555,0,KABUPATEN LEBAK,3602,KABUPATEN LEBAK,-6.6555,"106.21667
",KABUPATEN LEBAK
106.48333,-6.16667,0,KABUPATEN TANGERANG,3603,KABUPATEN TANGERANG,-6.16667,"106.48333",KABUPATEN TANGERANG
105.9868,-6.1554,0,KABUPATEN SERANG,3604,KABUPATEN SERANG,-6.1554,"105.9868",KABUPATEN SERANG
106.6319,-6.1783,0,KOTA TANGERANG,3671,KOTA TANGERANG,-6.1783,"106.6319",KOTA TANGERANG
106.0359,-6.0125,0,KOTA CILEGON,3672,KOTA CILEGON,-6.0125,"106.0359",KOTA CILEGON
106.1543,-6.1105,0,KOTA SERANG,3673,KOTA SERANG,-6.1105,"106.1543",KOTA SERANG
106.7179,-6.2886,0,KOTA TANGERANG SELATAN,3674,KOTA TANGERANG SELATAN,-6.2886,"106.7179",KOTA TANGERANG SELATAN
