X,Y,Z,Name,id,alt_name,latitude,longitude,name2
110.1472,-7.8322,0,KABUPATEN KULON PROGO,3401,KABUPATEN KULON PROGO,-7.8322,110.1472,KABUPATEN KULON PROGO
110.3289,-7.8881,0,KABUPATEN BANTUL,3402,KABUPATEN BANTUL,-7.8881,110.3289,KABUPATEN BANTUL
110.6015,-7.9946,0,KABUPATEN GUNUNG KIDUL,3403,KABUPATEN GUNUNG KIDUL,-7.9946,110.6015,KABUPATEN GUNUNG KIDUL
110.3551,-7.7126,0,KABUPATEN SLEMAN,3404,KABUPATEN SLEMAN,-7.7126,110.3551,KABUPATEN SLEMAN
110.3695,-7.7956,0,KOTA YOGYAKARTA,3471,KOTA YOGYAKARTA,-7.7956,110.3695,KOTA YOGYAKARTA
